product_id;product_name;date;inventory_level;orders;lead_time_days
SKU123;Widget A;2025-01-01;150;23;5
SKU123;Widget A;2025-01-02;127;18;5
SKU123;Widget A;2025-01-03;109;15;5
SKU123;Widget A;2025-01-04;94;17;5
SKU123;Widget A;2025-01-05;77;14;5
SKU123;Widget A;2025-01-06;63;16;5
SKU123;Widget A;2025-01-07;47;12;5
SKU123;Widget A;2025-01-08;35;10;5
SKU123;Widget A;2025-01-09;25;8;5
SKU123;Widget A;2025-01-10;17;7;5
SKU123;Widget A;2025-01-11;210;5;5
SKU123;Widget A;2025-01-12;205;20;5
SKU123;Widget A;2025-01-13;185;22;5
SKU123;Widget A;2025-01-14;163;19;5
SKU123;Widget A;2025-01-15;144;16;5
SKU124;Widget B;2025-01-01;200;12;7
SKU124;Widget B;2025-01-02;188;25;7
SKU124;Widget B;2025-01-03;163;18;7
SKU124;Widget B;2025-01-04;145;20;7
SKU124;Widget B;2025-01-05;225;15;7
SKU124;Widget B;2025-01-06;210;17;7
SKU124;Widget B;2025-01-07;193;14;7
SKU124;Widget B;2025-01-08;179;13;7
SKU124;Widget B;2025-01-09;166;11;7
SKU124;Widget B;2025-01-10;155;9;7
SKU124;Widget B;2025-01-11;250;8;7
SKU124;Widget B;2025-01-12;242;22;7
SKU124;Widget B;2025-01-13;220;19;7
SKU124;Widget B;2025-01-14;201;16;7
SKU124;Widget B;2025-01-15;185;21;7
SKU125;Widget C;2025-01-01;75;8;3
SKU125;Widget C;2025-01-02;67;12;3
SKU125;Widget C;2025-01-03;55;10;3
SKU125;Widget C;2025-01-04;45;9;3
SKU125;Widget C;2025-01-05;36;7;3
SKU125;Widget C;2025-01-06;29;6;3
SKU125;Widget C;2025-01-07;23;5;3
SKU125;Widget C;2025-01-08;18;4;3
SKU125;Widget C;2025-01-09;14;3;3
SKU125;Widget C;2025-01-10;11;2;3
SKU125;Widget C;2025-01-11;100;3;3
SKU125;Widget C;2025-01-12;97;11;3
SKU125;Widget C;2025-01-13;86;9;3
SKU125;Widget C;2025-01-14;77;8;3
SKU125;Widget C;2025-01-15;69;10;3
SKU126;Widget D;2025-01-01;300;45;6
SKU126;Widget D;2025-01-02;255;38;6
SKU126;Widget D;2025-01-03;217;29;6
SKU126;Widget D;2025-01-04;288;35;6
SKU126;Widget D;2025-01-05;253;30;6
SKU126;Widget D;2025-01-06;223;28;6
SKU126;Widget D;2025-01-07;195;25;6
SKU126;Widget D;2025-01-08;170;20;6
SKU126;Widget D;2025-01-09;150;15;6
SKU126;Widget D;2025-01-10;135;10;6
SKU126;Widget D;2025-01-11;400;8;6
SKU126;Widget D;2025-01-12;392;42;6
SKU126;Widget D;2025-01-13;350;39;6
SKU126;Widget D;2025-01-14;311;36;6
SKU126;Widget D;2025-01-15;275;33;6
SKU127;Widget E;2025-01-01;180;20;4
SKU127;Widget E;2025-01-02;160;25;4
SKU127;Widget E;2025-01-03;135;15;4
SKU127;Widget E;2025-01-04;120;18;4
SKU127;Widget E;2025-01-05;102;16;4
SKU127;Widget E;2025-01-06;86;14;4
SKU127;Widget E;2025-01-07;72;12;4
SKU127;Widget E;2025-01-08;60;10;4
SKU127;Widget E;2025-01-09;50;8;4
SKU127;Widget E;2025-01-10;42;6;4
SKU127;Widget E;2025-01-11;200;5;4
SKU127;Widget E;2025-01-12;195;22;4
SKU127;Widget E;2025-01-13;173;19;4
SKU127;Widget E;2025-01-14;154;17;4
SKU127;Widget E;2025-01-15;137;15;4
SKU128;Widget F;2025-01-01;190;13;8
SKU128;Widget F;2025-01-02;177;9;8
SKU128;Widget F;2025-01-03;168;11;8
SKU128;Widget F;2025-01-04;157;8;8
SKU128;Widget F;2025-01-05;149;7;8
SKU128;Widget F;2025-01-06;142;6;8
SKU128;Widget F;2025-01-07;136;5;8
SKU128;Widget F;2025-01-08;131;4;8
SKU128;Widget F;2025-01-09;127;3;8
SKU128;Widget F;2025-01-10;124;2;8
SKU128;Widget F;2025-01-11;120;3;8
SKU128;Widget F;2025-01-12;117;12;8
SKU128;Widget F;2025-01-13;105;10;8
SKU128;Widget F;2025-01-14;95;9;8
SKU128;Widget F;2025-01-15;86;8;8
SKU129;Widget G;2025-01-01;250;35;5
SKU129;Widget G;2025-01-02;215;28;5
SKU129;Widget G;2025-01-03;187;30;5
SKU129;Widget G;2025-01-04;157;25;5
SKU129;Widget G;2025-01-05;132;22;5
SKU129;Widget G;2025-01-06;110;20;5
SKU129;Widget G;2025-01-07;90;18;5
SKU129;Widget G;2025-01-08;72;15;5
SKU129;Widget G;2025-01-09;57;12;5
SKU129;Widget G;2025-01-10;45;10;5
SKU129;Widget G;2025-01-11;300;8;5
SKU129;Widget G;2025-01-12;292;32;5
SKU129;Widget G;2025-01-13;260;29;5
SKU129;Widget G;2025-01-14;231;26;5
SKU129;Widget G;2025-01-15;205;24;5
SKU130;Widget H;2025-01-01;220;17;6
SKU130;Widget H;2025-01-02;203;14;6
SKU130;Widget H;2025-01-03;189;16;6
SKU130;Widget H;2025-01-04;173;13;6
SKU130;Widget H;2025-01-05;160;11;6
SKU130;Widget H;2025-01-06;149;9;6
SKU130;Widget H;2025-01-07;140;7;6
SKU130;Widget H;2025-01-08;133;6;6
SKU130;Widget H;2025-01-09;127;5;6
SKU130;Widget H;2025-01-10;122;4;6
SKU130;Widget H;2025-01-11;150;3;6
SKU130;Widget H;2025-01-12;147;15;6
SKU130;Widget H;2025-01-13;132;13;6
SKU130;Widget H;2025-01-14;119;12;6
SKU130;Widget H;2025-01-15;107;11;6
